,continent,population,head_of_state
160,Asia,23930000,Gyanendra Bir Bikram
161,Oceania,12000,Bernard Dowiyogo
162,Oceania,3862000,Elisabeth II
163,Asia,2542000,Qabus ibn Sa id
164,Asia,156483000,Mohammad Rafiq Tarar
165,North America,2856000,Mireya Elisa Moscoso RodrIguez
166,Oceania,50,Elisabeth II
167,South America,25662000,Valentin Paniagua Corazao
168,Asia,75967000,Gloria Macapagal-Arroyo
169,Oceania,19000,Kuniwo Nakamura
170,Oceania,4807000,Elisabeth II
171,Europe,38653600,Aleksander Kwasniewski
172,North America,3869000,George W. Bush
173,Asia,24039000,Kim Jong-il
174,Europe,9997600,Jorge Sampaio
175,South America,5496000,Luis angel Gonzalez Macchi
176,Asia,3101000,Yasser (Yasir) Arafat
177,Oceania,235000,Jacques Chirac
178,Asia,599000,Hamad ibn Khalifa al-Thani
179,Africa,699000,Jacques Chirac
180,Europe,22455500,Ion Iliescu
181,Europe,146934000,Vladimir Putin
182,Africa,7733000,Paul Kagame
183,Asia,21607000,Fahd ibn Abdul-Aziz al-Sa ud
184,Africa,29490000,Omar Hassan Ahmad al-Bashir
185,Africa,9481000,Abdoulaye Wade
186,Asia,3567000,Sellapan Rama Nathan
187,Antarctica,0,Elisabeth II
188,Africa,6000,Elisabeth II
189,Europe,3200,Harald V
190,Oceania,444000,Elisabeth II
191,Africa,4854000,Ahmed Tejan Kabbah
192,North America,6276000,Francisco Guillermo Flores Perez
193,Europe,27000,
194,Africa,10097000,Abdiqassim Salad Hassan
195,North America,7000,Jacques Chirac
196,Africa,147000,Miguel Trovoada
197,South America,417000,Ronald Venetiaan
198,Europe,5398700,Rudolf Schuster
199,Europe,1987800,Milan Kucan
200,Europe,8861400,Carl XVI Gustaf
201,Africa,1008000,Mswati III
202,Africa,77000,France-Albert Rene
203,Asia,16125000,Bashar al-Assad
204,North America,17000,Elisabeth II
205,Africa,7651000,Idriss Deby
206,Africa,4629000,Gnassingbe Eyadema
207,Asia,61399000,Bhumibol Adulyadej
208,Asia,6188000,Emomali Rahmonov
209,Oceania,2000,Elisabeth II
210,Asia,4459000,Saparmurad Nijazov
211,Asia,885000,Jose Alexandre Gusmao
212,Oceania,99000,Taufa'ahau Tupou IV
213,North America,1295000,Arthur N. R. Robinson
214,Africa,9586000,Zine al-Abidine Ben Ali
215,Asia,66591000,Ahmet Necdet Sezer
216,Oceania,12000,Elisabeth II
